n,m,runtime,nit,optimal_value,success,status,message
4,2,0.0008683204650878906,3.0,15.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,6,0.0006239414215087891,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
4,10,0.0005109310150146484,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
4,14,0.0005087852478027344,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
4,18,0.0005199909210205078,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
4,22,0.0005459785461425781,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
10,2,0.0013883113861083984,2.0,1.2222222222222223,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,6,0.0007185935974121094,8.0,133.62405464747508,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,10,0.0007190704345703125,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
10,14,0.0006799697875976562,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
10,18,0.0006685256958007812,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
10,22,0.0007722377777099609,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
20,2,0.0009784698486328125,2.0,0.8181818181818181,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
20,6,0.0007672309875488281,10.0,1202.570644718789,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
20,10,0.0010075569152832031,13.0,48.3376493301026,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
20,14,0.0007853507995605469,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
20,18,0.0008132457733154297,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
20,22,0.0007603168487548828,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)
30,2,0.0007884502410888672,3.0,1.24,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
30,6,0.00067138671875,9.0,17.326099306896943,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
30,10,0.0007283687591552734,12.0,21.003172454753614,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
30,14,0.0008490085601806641,15.0,36.70488419204682,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
30,18,0.0007944107055664062,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
30,22,0.0007755756378173828,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
40,2,0.0007572174072265625,2.0,0.33333333333333337,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
40,6,0.0006983280181884766,7.0,6.046826708833464,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
40,10,0.0008385181427001953,16.0,20.807132378814146,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
40,14,0.0010280609130859375,19.0,38.08868503328967,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
40,18,0.0009412765502929688,26.0,40.25213578973476,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
40,22,0.0009300708770751953,,,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible)
50,2,0.0007693767547607422,2.0,0.4,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,6,0.0008134841918945312,8.0,12.149808821378576,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,10,0.0008587837219238281,13.0,17.98911222362782,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,14,0.0008301734924316406,17.0,24.374921968115725,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,18,0.0010101795196533203,28.0,89.01398635455756,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,22,0.0010564327239990234,32.0,57.68801253162789,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,2,0.0008063316345214844,2.0,0.7142857142857142,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,6,0.0007274150848388672,6.0,6.800577543740445,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,10,0.0008866786956787109,16.0,25.860453835780532,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,14,0.0009043216705322266,23.0,39.59606112127623,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,18,0.0011773109436035156,24.0,44.36728682990491,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
60,22,0.0010821819305419922,32.0,95.33172992307219,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,2,0.0008225440979003906,2.0,0.3448275862068966,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,6,0.0007734298706054688,6.0,3.6541481695012967,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,10,0.0008559226989746094,12.0,18.43795294604079,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,14,0.0009233951568603516,18.0,26.537540605291966,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,18,0.001129150390625,30.0,28.36584055197186,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
70,22,0.0011305809020996094,38.0,65.39444093819236,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,2,0.0008788108825683594,3.0,0.2777777777777778,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,6,0.001096487045288086,10.0,6.696734059097978,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,10,0.0009362697601318359,12.0,21.56154671015885,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,14,0.0010821819305419922,17.0,19.198982151738637,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,18,0.0010609626770019531,24.0,38.695207869174844,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
80,22,0.0015113353729248047,31.0,35.30071632181611,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
